Pojem česky	Definice česky
 Faktory životnosti	Udává různé faktory, které ovlivňují očekávanou životnost prvků v rámci systému nebo zóny.
 Kvalita součástí	Nastavení životnosti vyplývající z vlivů kvality použitých součástí.
 Úroveň konstrukce	Nastavení životnosti vyplývající z vlivů použité úrovně konstrukce.
 Úroveň provedení práce	Nastavení životnosti vyplývající z vlivů kvality provedené práce.
 Vnitřní prostředí	Nastavení životnosti vyplývající z vlivů vnitřního prostředí (tam kde je k dispozici).
 Vnější prostředí	Nastavení životnosti vyplývající z vlivů vnějšího prostředí (tam kde je k dispozici).
 Podmínky použití	Nastavení životnosti vyplývající z vlivů podmínek, ve kterých se součásti používají.
 Úroveň údržby	Nastavení životnosti vyplývající z vlivů úrovně nebo stupně údržby prováděné na součástech.
	
 Stínění zařízení - všeobecně	Vlastnosti stínícího zařízení asociovaného s prvkem, který představuje stínící zařízení
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“) za předpokladu, že není použita žádná klasifikační reference pro rozpoznaný klasifikační systém.
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
 Typ stínícího zařízení	Udává typ stínícího zařízení
 Je venkovní	Udává, zda je prvek navržený pro použití ve venkovním prostředí (TRUE) nebo není (FALSE). Pokud platí (TRUE), jedná se o venkovní prvek a je orientován směrem ven z budovy.
 Ovládané mechanicky	Udává, zda je prvek ovládaný mechanicky (TRUE) nebo ne, t.j. manuálně (FALSE).
 Prostup tepla	Součinitel prostupu tepla (hodnota U) materiálu o určité tloušťce pro tento prvek.
 Sluneční propustnost	(Tsol): Poměr dopadajícího slunečního záření, které přímo prochází stínícím systémem (také nazývané τe). Seznamte se s následující rovnicí:  Asol + Rsol + Tsol = 1
 Prostup viditelného světla	Podíl viditelného světla, které prochází stínícím systémem při kolmém úhlu dopadu.  Jedná se o bezrozměrnou hodnotu.
 Sluneční odrazivost	(Rsol): Poměr dopadajícího slunečního záření, které je odraženo stínícím systémem (také nazývané ρe). Seznamte se s následující rovnicí:  Asol + Rsol + Tsol = 1
 Odrazivost viditelného světla	Podíl viditelného světla, které je odraženo zasklením při kolmém úhlu dopadu. Jedná se o bezrozměrnou hodnotu.
 Drsnost	Míra svislých odchylek povrchu.
 Barva povrchu	Barva povrchu.
	
 Historie provozu stínícího zařízení	Atributy historie provozu stínícího zařízení.
 Úhel sklonu	Úhel sklonu definovaný v rovině kolmé k ose výlevu (osa x místního umístění). Úhel se měří od orientace osy Z v místním umístění.
 Azimut	Azimut vycházející kolmice pro vnější nebo nahoru otočený povrch.
	
 Lokalita - všeobecně	Společné vlastnosti pro definici všech výskytů IfcSite. Několik atributů lokality se zpracovává přímo v instanci IfcSite, číslo (nebo zkrácený název) lokality v instanci IfcSite.Name, název (nebo celý název) lokality v instanci IfcSite.LongName, a popis (nebo komentáře) v instanci IfcSite.Description. Číslo názvu pozemku se také udává jako explicitní atribut IfcSite.LandTitleNumber. Skutečné číselné hodnoty lokality, např. její obvod, plocha a objem, jsou uvedeny v instanci IfcElementQuantity a klasifikaci lokality podle národních stavebních předpisů v instanci IfcClassificationReference. Globální umístění lokality z hlediska severních a východních souřadnic a nadmořské výšky se udává pomocí IfcSite.RefLongitude, IfcSite.RefLatitude, IfcSite.RefElevation a poštovní adresy podle IfcSite.SiteAddress.
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“). Používá se k uložení klasifikačně neřízeného vnitřního typu projektu.
 Stavební plocha	Využití plochy lokality vyjádřené jako maximální hodnota v souladu s místními stavebními předpisy.
 Poměr pokrytí lokality	Poměr využití, CelkováPlocha / StavebníPlocha, vyjádřená jako maximální hodnota. Hodnotu poměru lze použít k odvození hodnoty StavebníPlocha.
 Poměr podlahové plochy	Poměr všech podlahových ploch ke stavební ploše jako maximální využití podlahové plochy lokality jako maximální hodnota v souladu s místními stavebními předpisy.
 Limit výšky budovy	Maximální přípustná výška budov v této lokalitě - v souladu s místními stavebními předpisy.
 Celková plocha	Celková plánovaná plocha lokality. Slouží k programování prostoru lokality.
	
 Deska - všeobecně	Společné vlastnosti pro definici všech výskytů IfcSlab. Poznámka: Vlastnosti pro RoztečnýÚhel přidány do IFC 2x3
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“), také označován jako „konstrukční typ“.  Musí být poskytnuto jako alternativa k názvu „typ objektu“, pokud software typy objektů nepodporuje
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
 Maximální hodnoty zvuku	"Maximální hodnoty zvuku pro tento objekt.
Jsou určeny podle národních stavebních předpisů. Udávají odolnost proti zvukové propustnosti tohoto objektu indexovým ukazatelem (místo zajištění hodnot absorpce zvuku)."
 Požární odolnost	Požární odolnost tohoto objektu. Udává se podle národní klasifikace požární bezpečnosti.
 Hořlavina	Údaj, zda je objekt vyroben z hořlavého materiálu (TRUE) nebo ne (TRUE).
 Povrchové šíření ohně	Údaj o šíření ohně po povrchu. Udává se v souladu s vnitrostátním stavebním zákonem, který stanovuje požární odolnost pro materiály.
 Prostup tepla	Součinitel prostupu tepla (hodnota U) materiálu. Zde je to celkový součinitel prostupu tepla povrchem desky (včetně všech materiálů).
 Je venkovní	Udává, zda je prvek navržený pro použití ve venkovním prostředí (TRUE) nebo není (FALSE). Pokud platí (TRUE), jedná se o venkovní prvek a je orientován směrem ven z budovy.
 Nosnost	Udává, zda je objekt určen k nesení zátěže (TRUE) nebo nikoli (FALSE).
 Úseky	Udává, zda je tento objekt určen k tomu, aby sloužil jako oddělení v případě požáru (TRUE) nebo nikoli (FALSE).
 Roztečný úhel	"Úhel desky k vodorovné rovině, pokud je použita jako součást pro střechu (uvedeno jako 0°, nebo se neuplatňuje v případech, kdy deska neslouží jako součást střechy).      

Informace o tvaru jsou poskytnuty navíc k zobrazení tvaru a použitým geometrickým parametrům. V případě nesouladu mezi geometrickými parametry a vlastnostmi tvaru, poskytnutými v přiložené vlastnosti, mají přednost geometrické parametry.  U aplikací pro editaci geometrie, např. CAD: tato hodnota by měla být jen pro zápis."
	
 Typ slunečního zařízení - všeobecně	Společné zařízení pro typy slunečních zařízení.
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“) za předpokladu, že není použita žádná klasifikační reference pro rozpoznaný klasifikační systém.
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
	
 Má tlumení zvuku	Společná definice pro udávání akustického tlaku v daném místě pro zařízení běžně používané při stavebních pracích a v průtokových rozvodných systémech.   Pro uvedení hodnot zvuku z instance IfcDistributionFlowElement v určitém místě. Instance IfcAnnotation měla(y) být přiřazena k IfcDistributionFlowElement prostřednictvím vztahu IfcRelAssignsToProduct. IfcAnnotation by měla specifikovat ObjectType objektu 'Zvuk' a geometrické reprezentace 'Popisný bod', která se skládá z jednoho subtypu IfcPoint, jak je popsán v IfcAnnotation.  Tento soubor vlastností má na objektu více instancí pro každé frekvenční pásmo.  HISTORIE: Nový soubor vlastností ve verzi IFC 2x4.
 Zvukový rozsah	"Referenční zvukový rozsah  

DBA: Decibely s vážením podle křivky A
DBB: Decibely s vážením podle křivky B
DBC: Decibely s vážením podle křivky C
NC: Kritéria hluku
NR: Hlukové hodnocení"
 Frekvence zvuku	Seznam jmenovitých zvukových frekvencí, koreluje s hodnotami časových řad AkustickýTlak (IfcTimeSeries.ListValues)
 Akustický tlak	Časové řady hodnot akustického tlaku měřené v decibelech při referenčním tlaku 20 mikro Pascalů pro frekvenční pásmo odkazované oktávy.  Každá hodnota v IfcTimeSeries.ListValues koreluje s frekvencí zvuku na stejné pozici v rámci ZvukovéFrekvence.
	
 Vytváření zvuku	Všeobecná definice pro vyjadřování vlastností zvuku obvykle používaná v souvislosti se stavebními pracemi a průtokovými rozvodnými systémy.  Tento soubor vlastností má na objektu více instancí pro každé frekvenční pásmo.  HISTORIE: Nový soubor vlastností ve verzi IFC 2x4.
 Zvuková křivka	Tabulka zvukových frekvencí a intenzity zvuku měřených v decibelech při referenčním výkonu 1 piko Watt (10 ^ (- 12) W) na frekvenčním pásmu odkazované oktávy.
	
 Prostor - všeobecně	Společné vlastnosti pro definici všech výskytů IfcSpace. Několik atributů prostoru se zpracovává přímo v instanci IfcSpace, číslo (nebo zkrácený název) prostoru v instanci IfcSpace.Name, název (nebo celý název) prostoru v instanci IfcSpace.LongName, a popis (nebo komentáře) v instanci IfcSpace.Description. Skutečné číselné hodnoty prostoru, např. jeho obvod, plocha a objem, jsou uvedeny v instanci IfcElementQuantity a klasifikaci prostoru podle národních stavebních předpisů v instanci IfcClassificationReference. Úroveň nad nulou (vzhledem k budově) pro řadovou deskovou konstrukci poskytuje IfcBuildingStorey.Elevation. Úroveň nad nulou (vzhledem k budově) pro povrch podlahy zajišťuje IfcSpace.ElevationWithFlooring.
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“). Používá se k uložení klasifikačně neřízeného vnitřního typu projektu.
 Je venkovní	Udává, zda je prvek navržený pro použití ve venkovním prostředí (TRUE) nebo není (FALSE). Pokud platí (TRUE), jedná se o venkovní prvek a je orientován směrem ven z budovy.
 Hrubá plánovaná plocha	Celková plánovaná plocha prostoru. Slouží k programování prostoru.
 Čistá plánovaná plocha	Celková plánovaná plocha prostoru. Slouží k programování prostoru.
 Veřejně přístupné	Udává, zda je tento prostor (např. WC) navržen tak, aby sloužil jako veřejně přístupný prostor, například pro veřejné WC (TRUE) nebo ne (FALSE).
 Bezbariérový přístup	Udává, zda je tento prostor (např. WC) navržen tak, aby sloužil jako prostor přístupný pro tělesně postižené, například pro veřejné WC (TRUE) nebo ne (FALSE). Tato informace se často používá k prohlášení, že je třeba zajistit přístup pro tělesně postižené a speciální konstrukci tohoto prostoru.
	
 Požadavky na krytí prostoru	Společné vlastnosti pro definici požadavků na krytí IfcSpace. Tyto vlastnosti definují požadavky přicházející z prostorového programu v raných fázích projektu, a lze je později použít k definování informací knihy místností, pokud tato krytí nejsou výslovně modelována jako krycí prvky.
 Podlahová krytina	"Štítek pro uvedení materiálu nebo povrchové úpravy podlahy prostoru. Tento štítek slouží jako informace pro knihu místností, a často se zobrazuje v razítku místnosti.

Informace o materiálu jsou uvedeny při absenci objektu IfcCovering (typ = PODLAHA) s vlastním zadáním reprezentace tvaru a materiálu. V případě nesouladu materiálu přiřazeného k IfcCovering mají přednost prvky."
 Tloušťka podlahové krytiny	"Tloušťka vrstvy materiálu(ů) pro podlahu prostoru.  

Informace o tloušťce jsou uvedeny při absenci objektu IfcCovering (typ = PODLAHA) s vlastní reprezentací tvaru. V případě nesouladu mezi geometrickými parametry přiřazeného IfcCovering a touto připojenou vlastností mají přednost geometrické parametry."
 Krytí stěn	"Štítek pro uvedení materiálu nebo povrchové úpravy podlahy prostoru. Tento štítek slouží jako informace pro knihu místností, a často se zobrazuje v razítku místnosti.

Informace o materiálu jsou uvedeny při absenci objektu IfcCovering (typ = OBKLAD) s vlastním zadáním reprezentace tvaru a materiálu. V případě nesouladu materiálu přiřazeného k IfcCovering mají přednost prvky."
 Tloušťka obkladů stěn	"Tloušťka vrstvy materiálu(ů) pro obklad prostoru.  

Informace o tloušťce jsou uvedeny při absenci objektu IfcCovering (typ = OBKLAD) s vlastní reprezentací tvaru. V případě nesouladu mezi geometrickými parametry přiřazeného IfcCovering a touto připojenou vlastností mají přednost geometrické parametry."
 Stropní obložení	"Štítek pro uvedení materiálu nebo povrchové úpravy podlahy prostoru. Tento štítek slouží jako informace pro knihu místností, a často se zobrazuje v razítku místnosti.

Informace o materiálu jsou uvedeny při absenci objektu IfcCovering (typ = STROP) s vlastním zadáním reprezentace tvaru a materiálu. V případě nesouladu materiálu přiřazeného k IfcCovering mají přednost prvky."
